id;key;name;title;releasedate;popularity_spot;popularity;winrate;banrate;averageKDA;pentas/match;blurb;attack;defense;magic;difficulty;role;rangetype;tags;partype;hp;hpperlevel;mp;mpperlevel;movespeed;armor;armorperlevel;spellblock;spellblockperlevel;attackrange;hpregen;hpregenperlevel;mpregen;mpregenperlevel;attackdamage;attackdamageperlevel;attackspeed;attackspeedperlevel;spell1_name;spell1_description;spell1_cost;spell1_cooldown;spell2_name;spell2_description;spell2_cost;spell2_cooldown;spell3_name;spell3_description;spell3_cost;spell3_cooldown;ulti_name;ulti_description;ulti_cost;ulti_cooldown
AurelionSol;136;Aurelion Sol;The Star Forger;24/3/2016;121;3.5%;52.0%;1.7%;7.3/5.8/8.1;0.0029;Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...;2;3;8;7;Middle;Ranged;Mage;Mana;575;92;350;50;325;19;3.6;30;0.5;550;7;0.6;6;0.8;57;3.2;0.625;1.36;Starsurge;Aurelion Sol creates an expanding disk, which explodes to stun and damage enemies when it moves too far away from him.;60/70/80/90/100;11/10/9/8/7;Celestial Expansion;Aurelion Sol pushes his stars farther out, increasing their damage and speed.;70/80/90/100/110;8/6.5/5/3.5/2;Comet of Legend;Aurelion Sol takes off flying for a long distance.;60/60/60/60/60;80/75/70/65/60;Voice of Light;Aurelion Sol projects a blast of pure starfire, damaging and slowing all enemies caught in it and knocking nearby enemies back to a safer distance.;100/100/100;110/90/70
Aurora;893;Aurora;The Witch between Worlds;17/7/2024;106;4.0%;48.3%;17.1%;6.1/5.7/7.1;0.0010;From the moment she was born, Aurora navigated life with a unique ability to move between the spirit and material realms. Determined to learn more about the spirit realm's inhabitants, she left her home to further her research and happened upon aÖ;;;;5;Middle,Top;Ranged;Mage,Assasin;Mana;607;110;475;30;335;23;4.5;30;1.3;550;6;0.55;8;0.8;53;3;0.625;2;Twofold Hex;Aurora fires a bolt of energy in the target direction that deals magic damage to enemies hit and marks them with a curse for 3.5 seconds.;60/60/60/60/60;8/7.5/7/6.5/6;Across the Veil;Aurora Dash hops in the target direction inside a portal to the Spirit Realm. Upon completing the dash, she becomes Twilight Shroud old2 invisible for a duration and gains Realm Hopper Realm Hopper for 4 seconds. ;80/80/80/80/80;22/21/20/19/18;The Weirding;Aurora blasts energy in a line in the target direction and Dash recoils 250 units in the opposite direction. The blast deals magic damage to enemies hit and Slow icon slows them by 80% for 1 second decaying after the first 0.15 seconds.;80/80/80/80/80;15/14/13/12/11;Between Worlds; Aurora Dash leaps in the target direction with Unstoppable icon displacement immunity over 0.4 seconds. She then gains Realm Hopper Realm Hopper for 4 seconds and unleashes a pulse of energy at a location directly 425 units in front of her, expanding in a radius over 0.75 seconds to deal magic damage to enemies hit and Slow icon slow them by 30% for 2 seconds.;100/100/100;140/120/100
Azir;268;Azir;the Emperor of the Sands;16/9/2014;140;2.6%;45.8%;0.5%;5.3/5.9/6.1;0.0016;Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...;6;3;8;9;Middle;Ranged;Mage,Marksman;Mana;552;92;480;21;335;19.04;3;30;0.5;525;7;0.75;8;0.8;52;2.8;0.625;3;Conquering Sands;Azir sends all Sand Soldiers towards a location. Sand Soldiers deal magic damage to enemies they pass through and apply a slow for 1 second.;70/70/70/70/70;15/13/11/9/7;Arise!;Azir summons a Sand Soldier to attack nearby targets for him, replacing his basic attack against targets within the soldier's range. Their attacks deal magic damage to enemies in a line. Arise! also passively grants attack speed to Azir and his Sand Soldiers.;40/40/40/40/40;1.5/1.5/1.5/1.5/1.5;Shifting Sands;Azir shields himself briefly and dashes to one of his Sand Soldiers, damaging enemies. If he hits an enemy champion, he instantly readies a new Sand Soldier for deployment and halts his dash.;60/60/60/60/60;19/18/17/16/15;Emperor's Divide;Azir summons a wall of soldiers which charge forward, knocking back and damaging enemies.;100/100/100;120/105/90
Bard;432;Bard;the Wandering Caretaker;12/3/2015;132;3.1%;49.6%;0.5%;2.5/5.7/14.4;0.0000;A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...;4;4;5;9;Support;Ranged;Support,Mage;Mana;575;89;350;50;330;34;4;30;0.5;500;5.5;0.55;6;0.45;52;3;0.625;2;Cosmic Binding;Bard fires a missile which will slow the first enemy struck, and continue onward. If it strikes a wall, it will stun the initial target;60/60/60/60/60;11/10/9/8/7;Caretaker's Shrine;Bard conjures a shrine at the target location that gathers power over 5 seconds, granting Sight icon sight of its surroundings for 1.8 seconds.;70/70/70/70/70;18/18/18/18/18;Magical Journey;Bard opens a one-way magical corridor through a piece of terrain in the target direction for 10 seconds.;30/30/30/30/30;22/20.5/19/17.5/16;Tempered Fate;Bard sends magical energy arcing to the target location, granting Sight icon sight of the area during travel. Upon impact, it puts all units within into Stasis icon stasis for 2.5 seconds.;100/100/100;110/95/80
Belveth;200;Bel'veth;The Empress of the Void;9/6/2022;149;2.4%;49.8%;4.2%;7.0/5.7/6.5;0.0007;A nightmarish empress created from the raw material of an entire devoured city, Bel'Veth is the end of Runeterra itself... and the beginning of a monstrous reality of her own design. Driven by epochs of repurposed history, knowledge, and memories fromÖ;;;;6;Jungle;Melee;Skirmisher;none;610;99;60;0.0;340;32;4.7;32;2.05;175;6.0;0.6;0.0;0.0;60;1.5;0.85;0.0;Void Surge;Bel'Veth Dash dashes in the designated direction, though not through terrain, dealing physical damage to enemies she passes through.;0;1/1/1/1/1;Above and Below;Bel'Veth slams her tail down in the target direction that deals magic damage to enemies hit, Airborne icon knocks them up for 0.75 seconds, and Slow icon slows them by 50% for a duration.;0;12/11/10/9/8;Royal Maelstrom;Bel'Veth enters a defensive stance for 1.5 seconds, during which she is unable to move, but gains Life steal icon 20% (+ 100% life steal) life steal and damage reduction.;0;20/19/18/17/16;Endless Banquet;Bel'Veth's basic attacks On-hit icon on-hit apply a mark to the target for 5 seconds, refreshing on subsequent hits.;0;1
Blitzcrank;53;Blitzcrank;the Great Steam Golem;2/9/2009;52;6.5%;48.7%;21.9%;2.0/6.5/13.6;0.0000;Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...;4;8;5;4;Support;Melee;Tank,Fighter;Mana;582.6;95;267.2;40;325;37;3.5;32.1;1.25;125;8.5;0.75;8.5;0.8;61.54;3.5;0.625;1.13;Rocket Grab;Blitzcrank fires his right hand to grab an opponent on its path, dealing damage and dragging it back to him.;100/100/100/100/100;20/19/18/17/16;Overdrive;Blitzcrank super charges himself to get dramatically increased Movement and Attack Speed. He is temporarily slowed after the effect ends.;75/75/75/75/75;15/15/15/15/15;Power Fist;Blitzcrank charges up his fist to make his next attack deal double damage and pop his target up in the air.;25/25/25/25/25;9/8/7/6/5;Static Field;Enemies attacked by Blitzcrank are marked and take lightning damage after 1 second. Additionally, Blitzcrank can activate this ability to remove nearby enemies' shields, damage them, and silence them briefly.;100/100/100;60/40/20
Brand;63;Brand;the Burning Vengeance;12/4/2011;50;6.8%;50.4%;8.5%;5.3/7.2/9.4;0.0003;Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself‚Äîand, in an instant, the...;2;2;9;4;Jungle,Support,Middle;Ranged;Mage;Mana;519.68;88;469;21;340;21.88;3.5;30;0.5;550;5.5;0.55;10.665;0.6;57.04;3;0.625;1.36;Sear;Brand launches a ball of fire forward that deals magic damage. If the target is ablaze, Sear will stun the target for 1.5 seconds.;50/50/50/50/50;8/7.5/7/6.5/6;Pillar of Flame;After a short delay, Brand creates a Pillar of Flame at a target area, dealing magic damage to enemy units within the area. Units that are ablaze take an additional 25% damage.;60/70/80/90/100;10/9.5/9/8.5/8;Conflagration;Brand conjures a powerful blast at his target, dealing magic damage to them. If the target is ablaze, Conflagration spreads to nearby enemies.;70/75/80/85/90;10/9/8/7/6;Pyroclasm;Brand unleashes a devastating torrent of fire, dealing magic damage each time it bounces, up to 5 bounces. Bounces prioritize stacking Blaze to max on Champions. If a target is ablaze, Pyroclasm will briefly slow them.;100/100/100;105/90/75
Braum;201;Braum;the Heart of the Freljord;12/5/2014;92;4.5%;50.6%;2.7%;1.5/5.8/15.2;0.0000;Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...;3;9;4;3;Support;Melee;Support,Tank;Mana;540;98;310.6;45;335;47;4;32.1;1.25;125;8.5;1;6;0.8;55.376;3.2;0.644;3.5;Winter's Bite;Braum propels freezing ice from his shield, slowing and dealing magic damage.<br><br>Applies a stack of <font color='#FFF673'>Concussive Blows</font>.;55/60/65/70/75;10/9/8/7/6;Stand Behind Me;Braum leaps to a target allied champion or minion. On arrival, Braum and the ally gain Armor and Magic Resist for a few seconds.;40/40/40/40/40;12/11/10/9/8;Unbreakable;Braum raises his shield in a direction for several seconds, intercepting all projectiles causing them to hit him and be destroyed. He negates the damage of the first attack completely and reduces the damage of all subsequent attacks from this direction.;30/35/40/45/50;18/16/14/12/10;Glacial Fissure;Braum slams the ground, knocking up enemies nearby and in a line in front of him. A fissure is left along the line that slows enemies.;100/100/100;140/120/100
Briar;233;Briar;The Restrained Hunger;14/9/2023;81;4.8%;50.6%;8.0%;8.4/7.7/7.4;0.0009;A failed experiment by the Black Rose, Briar's uncontrollable bloodlust required a special pillory to focus her frenzied mind. After years of confinement, this living weapon broke free from her restraints and unleashed herself into the world. Now she'sÖ;;;;6;Jungle;Melee;Diver;Fury;590;95;0;0.0;340;30;4.2;32;2.05;125;0.0;0.0;0.0;0.0;60;3.0;0.644;2.0;Head Rush;Briar Dash leaps to the target unit. If the target is an enemy, she deals magic damage, applies On-hit icon on-hit and on-attack effects, Stun icon stuns them for 0.85 seconds, and reduces their Armor penetration icon armor and Magic penetration icon magic resistance for 5 seconds.;6%currentHealth;13/12/11/10/9;Blood Frenzy;Briar Dash dashes to the target location. ;6%currentHealth;14/13/12/11/10;Chilling Scream;Briar prepares to unleash a scream in the target direction, Channeling icon charging for up to 1 second, during which she increases Chilling Scream's damage and range, and gains 35% damage reduction and Heal power icon heals herself every 0.25 seconds.;6%currentHealth;16/16/16/16/16;Certain Death;Briar kicks her pillory's hemolith in the target direction, briefly granting Sight icon sight of its surroundings as it travels and marking the first enemy champion hit as her prey.;6%currentHealth;120/100/80
Caitlyn;51;Caitlyn;the Sheriff of Piltover;4/1/2011;8;15.4%;48.5%;16.6%;7.5/6.3/5.9;0.0026;Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...;8;2;2;6;Bottom;Ranged;Marksman;Mana;481;91;313.7;35;325;28;3.5;30;0.5;650;3.5;0.55;7.4;0.55;62;2.88;0.681;4;Piltover Peacemaker;Caitlyn revs up her rifle for 1 second to unleash a penetrating shot that deals physical damage (deals less damage to subsequent targets).;50/60/70/80/90;10/9/8/7/6;Yordle Snap Trap;Caitlyn sets a trap to find sneaky yordles. When sprung, the trap reveals and immobilizes the enemy champion for 1.5 seconds, granting Caitlyn an empowered Headshot.;20/20/20/20/20;0.5/0.5/0.5/0.5/0.5;90 Caliber Net;Caitlyn fires a heavy net to slow her target. The recoil knocks Caitlyn back.;75/75/75/75/75;16/14.5/13/11.5/10;Ace in the Hole;Caitlyn takes time to line up the perfect shot, dealing massive damage to a single target at a huge range. Enemy champions can intercept the bullet for their ally.;100/100/100;90/75/60
Camille;164;Camille;the Steel Shadow;7/12/2016;56;6.3%;51.3%;4.9%;6.5/6.4/6.1;0.0008;Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros‚Äîan elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...;8;6;3;4;Top,Support;Melee;Fighter,Tank;Mana;575.6;85;338.8;32;340;35;3.8;32.1;1.25;125;8.5;0.8;8.15;0.75;68;3.5;0.644;2.5;Precision Protocol;Camille's next attack deals bonus damage and grants bonus movement speed. This spell can be recast for a short period of time, doing significantly increased bonus damage if Camille delays a period of time between the two attacks.;25/25/25/25/25;9/8.25/7.5/6.75/6;Tactical Sweep;Camille blasts in a cone after a delay, dealing damage. Enemies in the outer half are slowed and take extra damage, while also healing Camille.;50/55/60/65/70;15/13.5/12/10.5/9;Hookshot;Camille pulls herself to a wall, leaping off and knocking up enemy champions upon landing.;70/70/70/70/70;16/14.5/13/11.5/10;The Hextech Ultimatum;Camille dashes to target champion, anchoring them to the area. She also deals bonus magic damage to the target with her basic attacks.;100/100/100;140/115/90
Cassiopeia;69;Cassiopeia;the Serpent's Embrace;14/12/2010;153;2.1%;51.8%;1.4%;6.7/6.2/6.0;0.0010;Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...;2;3;9;10;Middle;Ranged;Mage;Mana;575;90;350;40;328;20;3.5;30;0.5;550;5.5;0.5;8;0.8;53;3;0.647;1.5;Noxious Blast;Cassiopeia blasts an area with Poison after a brief delay, granting her increased Movement Speed if she hits an enemy champion.;50/60/70/80/90;3.5/3.5/3.5/3.5/3.5;Miasma;Cassiopeia releases several clouds of poison, slowing, grounding, and lightly damaging enemies that pass through them. Grounded enemies cannot use Movement abilities.;70/80/90/100/110;24/22/20/18/16;Twin Fang;Cassiopeia lets loose an attack that deals increased damage to Poisoned targets and heals her for a percentage of the damage dealt. If the target dies from this attack, Cassiopeia regains Mana.;50/50/50/50/50;0.75/0.75/0.75/0.75/0.75;Petrifying Gaze;Cassiopeia releases a swirl of magical energy from her eyes, stunning any enemies in front of her that are facing her and slowing any others with their back turned.;100/100/100;120/100/80
Chogath;31;Cho'Gath;the Terror of the Void;26/6/2009;119;3.6%;50.9%;0.7%;6.4/5.8/6.1;0.0004;From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...;3;7;7;5;Top;Melee;Tank,Mage;Mana;574.4;80;272.2;40;345;38;3.5;32.1;1.25;125;9;0.85;7.206;0.45;69;4.2;0.625;1.44;Rupture;Ruptures the ground at target location, popping enemy units into the air, dealing damage and slowing them.;60/60/60/60/60;7/7/7/7/7;Feral Scream;Cho'Gath unleashes a terrible scream at enemies in a cone, dealing magic damage and Silencing enemies for a few seconds.;70/80/90/100/110;13/12/11/10/9;Vorpal Spikes;Cho'Gath's attacks release deadly spikes, dealing damage and slowing all enemy units in front of him.;30/30/30/30/30;8/7/6/5/4;Feast;Devours an enemy unit, dealing a high amount of true damage. If the target is killed, Cho'Gath grows, gaining maximum Health.;100/100/100;80/80/80
